index,Username,Posts,Followers,Following,Account Type
0,mikesbloggity,"4,700",24.4k,"1,623",None
1,uralsk_online_07,103,14.6k,22,Community
2,morphosisarchitects,"1,020",128k,0,Architectural Designer
3,matthiasheiderich,"1,587",82.1k,"1,047",Photographer
4,nsfwwxguy,29,"8,841",5,None
5,johannesnickel,875,11.9k,"1,475",Digital Creator
6,pangea,"1,555",351k,886,Photographer
7,billyrubinphotography,368,28.4k,428,None
